date,hs300
2014/8/29,2338.29
2014/9/1,2355.32
2014/9/2,2386.46
2014/9/3,2408.84
2014/9/4,2426.22
2014/9/5,2449.26
2014/9/9,2445.22
2014/9/10,2432.43
2014/9/11,2423.45
2014/9/12,2438.36
2014/9/15,2437.19
2014/9/16,2388.76
2014/9/17,2401.33
2014/9/18,2408.66
2014/9/19,2425.21
2014/9/22,2378.92
2014/9/23,2399.46
2014/9/24,2441.86
2014/9/25,2436.97
2014/9/26,2437.2
2014/9/29,2447.8
2014/9/30,2450.99
2014/10/8,2478.38
2014/10/9,2481.96
2014/10/10,2466.79
2014/10/13,2454.95
2014/10/14,2446.56
2014/10/15,2463.87
2014/10/16,2444.39
2014/10/17,2441.73
2014/10/20,2454.71
2014/10/21,2433.39
2014/10/22,2418.64
2014/10/23,2395.94
2014/10/24,2390.71
2014/10/27,2368.83
2014/10/28,2416.65
2014/10/29,2451.38
2014/10/30,2468.93
2014/10/31,2508.32
2014/11/3,2512.55
2014/11/4,2513.17
2014/11/5,2503.45
2014/11/6,2506.07
2014/11/7,2502.15
2014/11/10,2565.73
2014/11/11,2558.61
2014/11/12,2594.32
2014/11/13,2579.75
2014/11/14,2581.09
2014/11/17,2567.1
2014/11/18,2541.42
2014/11/19,2537.22
2014/11/20,2537.1
2014/11/21,2583.46
2014/11/24,2649.26
2014/11/25,2685.56
2014/11/26,2723.02
2014/11/27,2754.49
2014/11/28,2808.82
2014/12/1,2819.81
2014/12/2,2923.94
2014/12/3,2967.55
2014/12/4,3104.35
2014/12/5,3124.89
2014/12/8,3252.88
2014/12/9,3106.91
2014/12/10,3221.55
2014/12/11,3183.01
2014/12/12,3193.23
2014/12/15,3217.23
2014/12/16,3303.4
2014/12/17,3360.6
2014/12/18,3345.93
2014/12/19,3383.17
2014/12/22,3394.48
2014/12/23,3324.92
2014/12/24,3230.39
2014/12/25,3335.42
2014/12/26,3445.84
2014/12/29,3455.46
2014/12/30,3457.55
2014/12/31,3533.71
